Format Version,1.23,Take Name,Take 2022-02-11 07.51.42 PM_004,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,50.000000,Capture Start Time,2022-02-11 08.22.15.784 ,Total Frames in Take,58575,Total Exported Frames,24407,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo,Brazo
,ID,"13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D","13FA25D78B6811EC971C30666208F79D"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Mean Marker Error
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,
161,3.220000,-0.361146,0.270721,0.038068,-0.891535,-0.055205,0.126381,-0.014783,0.000185
162,3.240000,-0.362207,0.267596,0.037703,-0.892064,-0.054513,0.126002,-0.014618,0.000146
163,3.260000,-0.363859,0.268379,0.039486,-0.891078,-0.053709,0.125927,-0.014488,0.000183
164,3.280000,-0.364639,0.266217,0.039531,-0.891406,-0.053072,0.125783,-0.014306,0.000171
165,3.300000,-0.365420,0.263888,0.039743,-0.891769,-0.052763,0.125684,-0.014194,0.000987
166,3.320000,-0.365871,0.260664,0.039607,-0.892538,-0.052235,0.125553,-0.013940,0.000979
167,3.340000,-0.366262,0.257723,0.037938,-0.893304,-0.051640,0.125287,-0.013719,0.000214
168,3.360000,-0.366626,0.255881,0.037377,-0.893708,-0.051224,0.125194,-0.013576,0.000200
169,3.380000,-0.367336,0.255799,0.038159,-0.893406,-0.051117,0.125305,-0.013519,0.000832
170,3.400000,-0.367184,0.253815,0.037649,-0.894056,-0.050684,0.125363,-0.013294,0.001338
171,3.420000,-0.366911,0.252016,0.037540,-0.894682,-0.050204,0.125464,-0.012981,0.001139
172,3.440000,-0.366295,0.251488,0.038059,-0.895061,-0.049676,0.125726,-0.012699,0.001001
173,3.460000,-0.365965,0.249282,0.037781,-0.895824,-0.049278,0.125881,-0.012370,0.000895
174,3.480000,-0.365379,0.247671,0.036636,-0.896557,-0.048980,0.126063,-0.012080,0.000828
175,3.500000,-0.364432,0.246222,0.036176,-0.897360,-0.048664,0.126334,-0.011764,0.000875
176,3.520000,-0.363364,0.244212,0.035655,-0.898363,-0.048358,0.126659,-0.011378,0.000873
177,3.540000,-0.362691,0.243749,0.036625,-0.898721,-0.048050,0.127119,-0.011024,0.000857
178,3.560000,-0.362051,0.243228,0.036023,-0.899145,-0.047827,0.127486,-0.010722,0.000831
179,3.580000,-0.361551,0.243050,0.035491,-0.899415,-0.047578,0.127832,-0.010430,0.000818
180,3.600000,-0.360178,0.240328,0.034524,-0.900734,-0.047399,0.128049,-0.010099,0.000844
